y_true,y_pred
221.24113,169.81586
226.49129,200.46698
210.12883,226.78256
184.82791,204.22726
98.33858,136.10406
63.091595,94.11005
55.099182,45.380444
107.09472,29.225819
13.010744,64.00602
7.921282,9.208496
5.562633,8.402854
2.839975,7.277398
5.784493,7.7309594
4.539411,8.720982
4.122996,15.017742
3.724765,11.908645
5.778356,4.5291963
15.600524,6.413721
35.98498,89.03203
102.96361,33.354538
151.21783,178.2543
175.8846,150.60034
169.88307,152.60498
142.92021,183.64404
180.78163,142.85693
198.68158,168.61453
177.82762,168.01233
146.88507,159.82726
63.432747,110.98633
47.48245,63.281
28.385574,49.79883
33.68771,13.392768
17.206142,6.913855
12.08317,5.062533
12.366958,4.5182242
13.239306,4.0850515
4.740321,3.8496943
3.059459,4.57495
3.350037,2.7859943
3.348468,11.744155
2.894883,8.776448
8.436723,4.8404584
7.471279,51.913944
9.580215,6.2404466
16.446095,6.7761474
13.704961,47.754032
11.922065,7.4419346
11.238963,7.837007
15.004083,7.5846577
11.4959,48.067585
10.050592,7.479674
7.49982,4.376855
10.290734,4.224738
13.028013,4.7365084
13.315962,5.4412103
5.994844,55.15032
7.798623,4.5466814
3.191397,11.117622
3.225355,13.565202
3.671777,16.330225
12.735343,4.279631
11.412316,71.34926
10.74173,4.40969
8.298536,4.345496
9.198862,4.6866713
15.154164,4.268467
12.674455,64.264725
20.031462,4.407397
25.078976,74.751625
32.532757,78.9283
22.570335,85.24676
27.21615,4.347193
21.497572,5.673965
29.330889,4.6464934
20.339466,7.1744623
18.342196,4.5978384
12.03273,4.7177877
13.447794,3.7802696
6.449114,3.8997025
4.82505,7.4766855
3.186586,8.558087
5.404934,4.2417035
4.670192,23.870035
2.605529,34.762806
3.654539,17.15879
1.636531,31.1905
1.76926,14.390611
0.714696,21.817009
0.916535,10.688271
4.606194,13.667392
5.807284,41.50893
23.251587,4.755416
17.91645,98.8809
21.713762,5.736547
16.25557,55.276093
11.503904,4.9952707
16.167912,5.864391
12.910089,4.88671
11.889833,4.63998
11.205659,4.6701403
7.5969,4.3340144
16.40097,4.222036
14.079923,68.80057
22.579653,4.6948276
20.549091,75.923065
12.445559,65.07223
9.81845,4.558439
7.008069,4.264927
6.241188,3.8030622
1.343348,15.2064085
1.824557,5.7068524
2.7019,19.54446
1.060987,28.831028
0.982282,20.74687
0.7118,29.474049
4.204449,31.738136
7.211273,4.9705257
6.895871,55.464775
4.228671,45.856216
3.456844,16.19178
4.122576,8.850403
4.631527,21.755827
4.796996,21.591595
3.162152,38.207188
2.85144,17.34431
1.91544,18.471548
3.814097,17.602455
4.95852,45.77459
5.322897,50.679848
5.30226,47.26377
4.997259,44.6536
3.29278,42.159843
2.987054,31.786926
1.460822,33.703953
1.566121,16.123903
1.526226,20.348953
1.681781,22.049713
9.475216,4.709359
55.283585,5.064441
163.56616,122.52249
196.97754,235.51384
219.18726,195.3645
188.51468,224.57193
173.46086,210.67445
205.60094,176.44336
202.43489,213.53325
219.94327,175.47833
200.3104,179.32701
130.8842,147.2409
115.21863,99.83695
107.57605,84.61684
93.3799,62.85408
65.32629,30.996727
56.700787,10.459484
40.546333,7.79362
3.453611,8.427541
5.998936,8.22932
2.392411,5.330287
2.666666,6.1977005
2.386495,4.8087945
1.966235,7.0627275
11.995869,5.144148
67.63628,12.255174
160.18723,130.92368
208.95546,190.24796
225.95413,191.92946
213.77806,185.32751
220.45467,194.59422
227.85486,200.87251
236.82198,199.15234
237.46724,197.6796
220.70613,185.8108
167.35382,144.22748
146.533,120.04776
142.48557,102.46465
85.56282,98.22675
40.386215,49.50929
17.5462,10.3583975
7.558416,10.15038
6.785137,10.238302
5.3666,8.156278
5.267684,6.4442987
4.232163,9.325263
2.710056,5.6768107
5.853996,5.541461
16.738062,7.550211
80.015144,36.169014
186.78268,164.15048
