y_true,y_pred
221.24113,162.97693
226.49129,190.44228
210.12883,185.25502
184.82791,188.12248
98.33858,122.76162
63.091595,84.66702
55.099182,50.297073
107.09472,30.791128
13.010744,48.147804
7.921282,8.649806
5.562633,6.909255
2.839975,5.6740026
5.784493,5.016554
4.539411,4.71669
4.122996,4.1824474
3.724765,4.8920307
5.778356,3.902238
15.600524,10.949023
35.98498,65.0693
102.96361,43.759308
151.21783,166.70003
175.8846,157.7324
169.88307,185.21379
142.92021,180.61871
180.78163,149.39034
198.68158,167.01091
177.82762,162.95583
146.88507,161.684
63.432747,106.6918
47.48245,50.80795
28.385574,47.81651
33.68771,21.184334
17.206142,9.069342
12.08317,6.9079056
12.366958,5.3584423
13.239306,5.254212
4.740321,4.232785
3.059459,4.0635157
3.350037,4.033807
3.348468,5.420295
2.894883,5.7487783
8.436723,7.3829722
7.471279,33.28803
9.580215,29.67036
16.446095,19.771029
13.704961,24.265537
11.922065,21.366856
11.238963,21.000364
15.004083,16.102541
11.4959,20.346731
10.050592,9.667215
7.49982,7.6162367
10.290734,7.1681314
13.028013,7.417552
13.315962,11.5701885
5.994844,12.161609
7.798623,7.3552785
3.191397,7.420768
3.225355,7.632484
3.671777,7.5460153
12.735343,7.1857014
11.412316,13.396033
10.74173,10.026959
8.298536,8.886858
9.198862,7.236143
15.154164,7.094828
12.674455,26.574373
20.031462,7.247631
25.078976,61.70183
32.532757,90.10332
22.570335,117.39179
27.21615,7.654819
21.497572,81.91396
29.330889,7.3425827
20.339466,82.565125
18.342196,7.466551
12.03273,7.7310386
13.447794,7.0604544
6.449114,6.9729266
4.82505,7.098049
3.186586,7.4132776
5.404934,7.3395486
4.670192,7.0661073
2.605529,7.057685
3.654539,6.8805532
1.636531,6.992944
1.76926,6.871276
0.714696,7.0036917
0.916535,7.1222
4.606194,7.287051
5.807284,7.4416537
23.251587,7.0601807
17.91645,91.78174
21.713762,52.909073
16.25557,68.82661
11.503904,33.8695
16.167912,7.565542
12.910089,13.076737
11.889833,7.442087
11.205659,7.428298
7.5969,7.4364653
16.40097,7.3519397
14.079923,21.268894
22.579653,7.6868544
20.549091,65.83796
12.445559,53.980404
9.81845,7.2074795
7.008069,7.25834
6.241188,7.33291
1.343348,7.709235
1.824557,7.4917407
2.7019,7.3884487
1.060987,7.715234
0.982282,7.4006095
0.7118,7.4177914
4.204449,7.024781
7.211273,7.218621
6.895871,8.074301
4.228671,7.999692
3.456844,7.6945987
4.122576,7.662692
4.631527,7.7155495
4.796996,7.6312056
3.162152,7.563183
2.85144,7.6029854
1.91544,7.567955
3.814097,7.5962605
4.95852,7.7347283
5.322897,7.8831134
5.30226,7.955076
4.997259,7.968031
3.29278,7.898684
2.987054,7.639842
1.460822,7.652125
1.566121,7.5845785
1.526226,7.5626163
1.681781,7.5495358
9.475216,7.3657737
55.283585,7.4190164
163.56616,125.8766
196.97754,213.08067
219.18726,201.9655
188.51468,215.38458
173.46086,204.46477
205.60094,178.35968
202.43489,209.37984
219.94327,180.57501
200.3104,168.08315
130.8842,113.16974
115.21863,85.931595
107.57605,71.609924
93.3799,57.489914
65.32629,25.444656
56.700787,9.587209
40.546333,7.821871
3.453611,7.213476
5.998936,4.8709636
2.392411,5.1142416
2.666666,5.21
2.386495,4.869212
1.966235,5.521964
11.995869,6.5707893
67.63628,29.153795
160.18723,128.22737
208.95546,182.3592
225.95413,193.18852
213.77806,188.33797
220.45467,192.92963
227.85486,201.40823
236.82198,200.21358
237.46724,195.0975
220.70613,179.7662
167.35382,125.561516
146.533,105.45587
142.48557,88.165085
85.56282,76.22792
40.386215,31.192337
17.5462,9.94014
7.558416,7.661446
6.785137,7.2388372
5.3666,5.8798447
5.267684,5.1414986
4.232163,4.864458
2.710056,5.491212
5.853996,5.4857073
16.738062,9.120939
80.015144,41.978256
