file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,,
log2025-06-12 05:57:11.856320.txt,campus_processed,0.05,FGSM,AT,AT,擾動,10.232333278656006,15.09712818576392,,
log2025-06-12 05:57:11.856320.txt,campus_processed,0.05,FGSM,AT,AT,未擾動,9.128830814361573,14.016806121740219,,
log2025-06-12 05:57:11.856320.txt,campus_processed,0.05,FGSM,AT,Normal,擾動,11.745124816894531,15.894806657442302,,
log2025-06-12 05:57:11.856320.txt,campus_processed,0.05,FGSM,AT,Normal,未擾動,8.796856403,13.19925629672886,,
log2025-06-12 06:10:22.416955.txt,campus_processed,0.05,FGSM,mixup,Mixup,擾動,12.28448715209961,17.282972256131554,,
log2025-06-12 06:10:22.416955.txt,campus_processed,0.05,FGSM,mixup,Mixup,未擾動,11.129407405853271,16.476082746240255,,
log2025-06-12 06:10:22.416955.txt,campus_processed,0.05,FGSM,mixup,Normal,擾動,12.17333106994629,16.23223571718169,,
log2025-06-12 06:10:22.416955.txt,campus_processed,0.05,FGSM,mixup,Normal,未擾動,9.049933433532715,13.435670672285202,,
log2025-06-12 06:18:19.970032.txt,campus_processed,0.05,Normal,AT,AT,擾動,9.457239914,14.928715815033108,,Normal攻擊時無效
log2025-06-12 06:18:19.970032.txt,campus_processed,0.05,Normal,AT,AT,未擾動,9.672434520721435,14.501416688192895,,
log2025-06-12 06:18:19.970032.txt,campus_processed,0.05,Normal,AT,Normal,擾動,8.799423599243164,13.697707020543142,,
log2025-06-12 06:18:19.970032.txt,campus_processed,0.05,Normal,AT,Normal,未擾動,8.742878532409668,13.199612232474317,,
log2025-06-12 06:29:42.852357.txt,campus_processed,0.05,Normal,mixup,Mixup,擾動,10.051706027984618,15.83175210247332,,
log2025-06-12 06:29:42.852357.txt,campus_processed,0.05,Normal,mixup,Mixup,未擾動,10.74330759048462,15.899891185822472,,
log2025-06-12 06:29:42.852357.txt,campus_processed,0.05,Normal,mixup,Normal,擾動,8.671347093582153,13.474559239494123,,
log2025-06-12 06:29:42.852357.txt,campus_processed,0.05,Normal,mixup,Normal,未擾動,8.921611213684082,13.236958246191676,,
log2025-06-12 06:38:06.479247.txt,campus_processed,0.13,FGSM,AT,AT,擾動,12.704827404022216,18.763893342707437,,
log2025-06-12 06:38:06.479247.txt,campus_processed,0.13,FGSM,AT,AT,未擾動,10.815073108673095,16.94204847198294,,
log2025-06-12 06:38:06.479247.txt,campus_processed,0.13,FGSM,AT,Normal,擾動,20.004850578308105,25.873915459098566,,
log2025-06-12 06:38:06.479247.txt,campus_processed,0.13,FGSM,AT,Normal,未擾動,8.848196506500244,13.13645643044278,,
log2025-06-12 06:50:49.999473.txt,campus_processed,0.13,FGSM,mixup,Mixup,擾動,13.798856830596923,19.310025258980378,,
log2025-06-12 06:50:49.999473.txt,campus_processed,0.13,FGSM,mixup,Mixup,未擾動,11.327535724639892,17.22661920312261,,
log2025-06-12 06:50:49.999473.txt,campus_processed,0.13,FGSM,mixup,Normal,擾動,18.88016014099121,24.82606166233861,,
log2025-06-12 06:50:49.999473.txt,campus_processed,0.13,FGSM,mixup,Normal,未擾動,8.963930416107178,13.36647690549559,,
log2025-06-12 07:01:41.679833.txt,campus_processed,0.13,Normal,AT,AT,擾動,10.405914878845214,16.508474149074427,,Normal攻擊時無效
log2025-06-12 07:01:41.679833.txt,campus_processed,0.13,Normal,AT,AT,未擾動,10.980262851715088,17.083100523628868,,
log2025-06-12 07:01:41.679833.txt,campus_processed,0.13,Normal,AT,Normal,擾動,10.33859624862671,16.769849620580278,,
log2025-06-12 07:01:41.679833.txt,campus_processed,0.13,Normal,AT,Normal,未擾動,8.683410263061523,13.033437633128532,,
log2025-06-12 07:15:25.659431.txt,campus_processed,0.13,Normal,mixup,Mixup,擾動,10.636994934082031,16.678559410317366,,
log2025-06-12 07:15:25.659431.txt,campus_processed,0.13,Normal,mixup,Mixup,未擾動,11.550809574127197,17.218670565288786,,
log2025-06-12 07:15:25.659431.txt,campus_processed,0.13,Normal,mixup,Normal,擾動,9.967921447753906,16.365477659939867,,
log2025-06-12 07:15:25.659431.txt,campus_processed,0.13,Normal,mixup,Normal,未擾動,9.056066799163819,13.45351299405785,,
