file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,,,
log2025-06-13 03:14:13.720779.txt,campus_processed,0.05,FGSM,,Mixup,擾動,10.43859634,14.9751482,,10.44,14.98
log2025-06-13 03:14:13.720779.txt,campus_processed,0.05,FGSM,,Mixup,未擾動,9.238258648,13.7409638,,9.24,13.74
log2025-06-13 03:14:13.720779.txt,campus_processed,0.05,FGSM,,Normal,擾動,11.74720182,15.84307706,,11.75,15.84
log2025-06-13 03:14:13.720779.txt,campus_processed,0.05,FGSM,,Normal,未擾動,8.8078125,13.21611598,,8.81,13.22
log2025-06-13 03:31:24.555918.txt,campus_processed,0.05,FGSM,,Mixup,擾動,12.65068808,17.33400279,,12.65,17.33
log2025-06-13 03:31:24.555918.txt,campus_processed,0.05,FGSM,,Mixup,未擾動,10.98594894,16.05276228,,10.99,16.05
log2025-06-13 03:31:24.555918.txt,campus_processed,0.05,FGSM,,Normal,擾動,11.92972994,15.95209915,,11.93,15.95
log2025-06-13 03:31:24.555918.txt,campus_processed,0.05,FGSM,,Normal,未擾動,8.92607708,13.29735944,,8.93,13.3
log2025-06-13 03:42:39.260221.txt,campus_processed,0.05,Normal,,Mixup,擾動,10.00663404,13.91393821,,10.01,13.91
log2025-06-13 03:42:39.260221.txt,campus_processed,0.05,Normal,,Mixup,未擾動,9.546594143,14.07720306,,9.55,14.08
log2025-06-13 03:42:39.260221.txt,campus_processed,0.05,Normal,,Normal,擾動,11.05855837,14.74246597,,11.06,14.74
log2025-06-13 03:42:39.260221.txt,campus_processed,0.05,Normal,,Normal,未擾動,8.805808973,13.20381815,,8.81,13.2
log2025-06-13 03:55:43.378054.txt,campus_processed,0.05,Normal,,Mixup,擾動,10.72983894,14.87351593,,10.73,14.87
log2025-06-13 03:55:43.378054.txt,campus_processed,0.05,Normal,,Mixup,未擾動,10.83919668,16.24456619,,10.84,16.24
log2025-06-13 03:55:43.378054.txt,campus_processed,0.05,Normal,,Normal,擾動,10.92385063,14.72787132,,10.92,14.73
log2025-06-13 03:55:43.378054.txt,campus_processed,0.05,Normal,,Normal,未擾動,8.900527239,13.31025419,,8.9,13.31
log2025-06-13 04:07:53.803841.txt,campus_processed,0.12,FGSM,,AT,擾動,12.03816366,18.05258864,,12.04,18.05
log2025-06-13 04:07:53.803841.txt,campus_processed,0.12,FGSM,,AT,未擾動,10.60425119,16.544365,,10.6,16.54
log2025-06-13 04:07:53.803841.txt,campus_processed,0.12,FGSM,,Normal,擾動,19.01828814,24.65796073,,19.02,24.66
log2025-06-13 04:07:53.803841.txt,campus_processed,0.12,FGSM,,Normal,未擾動,8.928678608,13.30280911,,8.93,13.3
log2025-06-13 04:23:52.452317.txt,campus_processed,0.12,FGSM,,Mixup,擾動,14.14055405,19.41223379,,14.14,19.41
log2025-06-13 04:23:52.452317.txt,campus_processed,0.12,FGSM,,Mixup,未擾動,11.53220873,17.30157766,,11.53,17.3
log2025-06-13 04:23:52.452317.txt,campus_processed,0.12,FGSM,,Normal,擾動,18.18873787,23.64282328,,18.19,23.64
log2025-06-13 04:23:52.452317.txt,campus_processed,0.12,FGSM,,Normal,未擾動,9.02377243,13.40921553,,9.02,13.41
log2025-06-13 04:32:33.960522.txt,campus_processed,0.12,Normal,,AT,擾動,10.19934349,14.2859363,,10.2,14.29
log2025-06-13 04:32:33.960522.txt,campus_processed,0.12,Normal,,AT,未擾動,10.63771915,16.65973103,,10.64,16.66
log2025-06-13 04:32:33.960522.txt,campus_processed,0.12,Normal,,Normal,擾動,21.18927956,26.32621645,,21.19,26.33
log2025-06-13 04:32:33.960522.txt,campus_processed,0.12,Normal,,Normal,未擾動,9.048544312,13.55269456,,9.05,13.55
log2025-06-13 04:45:00.367299.txt,campus_processed,0.12,Normal,,Mixup,擾動,12.53189859,16.14077929,,12.53,16.14
log2025-06-13 04:45:00.367299.txt,campus_processed,0.12,Normal,,Mixup,未擾動,11.78708534,17.5172333,,11.79,17.52
log2025-06-13 04:45:00.367299.txt,campus_processed,0.12,Normal,,Normal,擾動,22.04730415,27.39848709,,22.05,27.4
log2025-06-13 04:45:00.367299.txt,campus_processed,0.12,Normal,,Normal,未擾動,9.014467907,13.31664892,,9.01,13.32
log2025-06-13 04:52:34.335426.txt,campus_processed,0.2,FGSM,,AT,擾動,13.27617683,20.12397535,,13.28,20.12
log2025-06-13 04:52:34.335426.txt,campus_processed,0.2,FGSM,,AT,未擾動,10.74777298,17.3353497,,10.75,17.34
log2025-06-13 04:52:34.335426.txt,campus_processed,0.2,FGSM,,Normal,擾動,25.48277531,33.96311896,,25.48,33.96
log2025-06-13 04:52:34.335426.txt,campus_processed,0.2,FGSM,,Normal,未擾動,8.90197401,13.26665877,,8.9,13.27
log2025-06-13 05:06:16.582193.txt,campus_processed,0.2,FGSM,,Mixup,擾動,15.39296875,21.48446373,,15.39,21.48
log2025-06-13 05:06:16.582193.txt,campus_processed,0.2,FGSM,,Mixup,未擾動,12.65061769,18.91317951,,12.65,18.91
log2025-06-13 05:06:16.582193.txt,campus_processed,0.2,FGSM,,Normal,擾動,27.88359089,36.14733329,,27.88,36.15
log2025-06-13 05:06:16.582193.txt,campus_processed,0.2,FGSM,,Normal,未擾動,8.723253059,13.06563665,,8.72,13.07
log2025-06-13 05:17:11.148968.txt,campus_processed,0.2,Normal,,AT,擾動,11.00444355,15.70177695,,11,15.7
log2025-06-13 05:17:11.148968.txt,campus_processed,0.2,Normal,,AT,未擾動,10.71831789,17.39652285,,10.72,17.4
log2025-06-13 05:17:11.148968.txt,campus_processed,0.2,Normal,,Normal,擾動,31.63763561,39.09086928,,31.64,39.09
log2025-06-13 05:17:11.148968.txt,campus_processed,0.2,Normal,,Normal,未擾動,8.861218834,13.11758166,,8.86,13.12
log2025-06-13 05:30:53.468010.txt,campus_processed,0.2,Normal,,Mixup,擾動,13.44283352,17.21591455,,13.44,17.22
log2025-06-13 05:30:53.468010.txt,campus_processed,0.2,Normal,,Mixup,未擾動,12.20748672,17.91886297,,12.21,17.92
log2025-06-13 05:30:53.468010.txt,campus_processed,0.2,Normal,,Normal,擾動,32.0505043,39.48406749,,32.05,39.48
log2025-06-13 05:30:53.468010.txt,campus_processed,0.2,Normal,,Normal,未擾動,8.835262489,13.10560062,,8.84,13.11
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,AT,擾動,1794.769214,2296.808162,,1794.77,2296.81
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,AT,未擾動,1429.546851,1915.186085,,1429.55,1915.19
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,Normal,擾動,1784.518945,2232.103863,,1784.52,2232.1
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,Normal,未擾動,1290.27467,1738.285309,,1290.27,1738.29
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Mixup,擾動,1741.529333,2279.161077,,1741.53,2279.16
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Mixup,未擾動,1368.651208,1878.873463,,1368.65,1878.87
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Normal,擾動,1855.131982,2289.464514,,1855.13,2289.46
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Normal,未擾動,1331.775928,1774.621029,,1331.78,1774.62
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,AT,擾動,1524.564075,2081.717983,,1524.56,2081.72
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,AT,未擾動,1493.155127,1977.815534,,1493.16,1977.82
