file,dataset_name,epsilon,attack_method,,method,state,mae,rmse
log2025-06-18 06:06:34.416826.txt,Abilene,0.06,FGSM,,AT,擾動,320.8924560546875,509.8319311
log2025-06-18 06:06:34.416826.txt,Abilene,0.06,FGSM,,AT,未擾動,305.03826904296875,501.59046592198314
log2025-06-18 06:06:34.416826.txt,Abilene,0.06,FGSM,,Normal,擾動,332.80018310546876,516.3402449919645
log2025-06-18 06:06:34.416826.txt,Abilene,0.06,FGSM,,Normal,未擾動,311.5441833496094,507.3347973783368
log2025-06-18 06:15:14.349442.txt,Abilene,0.06,FGSM,,Mixup,擾動,329.8459961,522.8023063758321
log2025-06-18 06:15:14.349442.txt,Abilene,0.06,FGSM,,Mixup,未擾動,315.06824645996096,515.3550640043961
log2025-06-18 06:15:14.349442.txt,Abilene,0.06,FGSM,,Normal,擾動,327.9316864013672,516.1269184128691
log2025-06-18 06:15:14.349442.txt,Abilene,0.06,FGSM,,Normal,未擾動,306.83241271972656,507.2145370706506
log2025-06-18 06:23:52.947564.txt,Abilene,0.06,Normal,,AT,擾動,307.2895263671875,500.3078520891812
log2025-06-18 06:23:52.947564.txt,Abilene,0.06,Normal,,AT,未擾動,310.4643157958984,508.12394678972794
log2025-06-18 06:23:52.947564.txt,Abilene,0.06,Normal,,Normal,擾動,313.5483459472656,506.9001989712668
log2025-06-18 06:23:52.947564.txt,Abilene,0.06,Normal,,Normal,未擾動,316.55230102539065,515.2012183
log2025-06-18 06:32:43.159551.txt,Abilene,0.06,Normal,,Mixup,擾動,321.23045959472654,520.1555195162044
log2025-06-18 06:32:43.159551.txt,Abilene,0.06,Normal,,Mixup,未擾動,326.9565887451172,530.6431736536088
log2025-06-18 06:32:43.159551.txt,Abilene,0.06,Normal,,Normal,擾動,313.3153472900391,507.3418243
log2025-06-18 06:32:43.159551.txt,Abilene,0.06,Normal,,Normal,未擾動,315.1722747802734,515.7379645652389
log2025-06-18 06:40:25.232800.txt,Abilene,0.09,FGSM,,AT,擾動,347.8538086,540.6984596068288
log2025-06-18 06:40:25.232800.txt,Abilene,0.09,FGSM,,AT,未擾動,329.8151092529297,532.2205271844806
log2025-06-18 06:40:25.232800.txt,Abilene,0.09,FGSM,,Normal,擾動,336.6017761230469,510.3428174733238
log2025-06-18 06:40:25.232800.txt,Abilene,0.09,FGSM,,Normal,未擾動,304.2304351806641,495.8611246154224
log2025-06-18 06:48:05.199906.txt,Abilene,0.09,FGSM,,Mixup,擾動,332.35767517089846,520.0001093906048
log2025-06-18 06:48:05.199906.txt,Abilene,0.09,FGSM,,Mixup,未擾動,310.4596740722656,509.6159304
log2025-06-18 06:48:05.199906.txt,Abilene,0.09,FGSM,,Normal,擾動,351.48394775390625,533.7803080030437
log2025-06-18 06:48:05.199906.txt,Abilene,0.09,FGSM,,Normal,未擾動,320.4833129882812,520.0173312246118
log2025-06-18 06:56:06.509744.txt,Abilene,0.09,Normal,,AT,擾動,306.45171813964845,495.65084244601525
log2025-06-18 06:56:06.509744.txt,Abilene,0.09,Normal,,AT,未擾動,307.45757446289065,505.2967521
log2025-06-18 06:56:06.509744.txt,Abilene,0.09,Normal,,Normal,擾動,314.02112731933596,502.86369759909394
log2025-06-18 06:56:06.509744.txt,Abilene,0.09,Normal,,Normal,未擾動,311.8558044433594,512.2935109095756
log2025-06-18 07:04:09.924176.txt,Abilene,0.09,Normal,,Mixup,擾動,325.6291748046875,522.6909994672566
log2025-06-18 07:04:09.924176.txt,Abilene,0.09,Normal,,Mixup,未擾動,331.5140380859375,535.7316937824949
log2025-06-18 07:04:09.924176.txt,Abilene,0.09,Normal,,Normal,擾動,317.4086456298828,504.4340514862402
log2025-06-18 07:04:09.924176.txt,Abilene,0.09,Normal,,Normal,未擾動,322.04180908203125,517.6717720979584
log2025-06-18 07:11:57.978974.txt,Abilene,0.15,FGSM,,AT,擾動,355.4659912109375,545.1975547194584
log2025-06-18 07:11:57.978974.txt,Abilene,0.15,FGSM,,AT,未擾動,330.47963562011716,531.8682927542776
log2025-06-18 07:11:57.978974.txt,Abilene,0.15,FGSM,,Normal,擾動,369.43016662597654,542.1027459330076
log2025-06-18 07:11:57.978974.txt,Abilene,0.15,FGSM,,Normal,未擾動,318.08050842285155,517.3133363
log2025-06-18 07:19:49.756288.txt,Abilene,0.15,FGSM,,Mixup,擾動,358.02570190429685,544.1199665003182
log2025-06-18 07:19:49.756288.txt,Abilene,0.15,FGSM,,Mixup,未擾動,325.8223083496094,528.4759266621893
log2025-06-18 07:19:49.756288.txt,Abilene,0.15,FGSM,,Normal,擾動,367.16974182128905,536.7446562309942
log2025-06-18 07:19:49.756288.txt,Abilene,0.15,FGSM,,Normal,未擾動,320.1787536621094,513.8683453916659
log2025-06-18 07:28:02.304829.txt,Abilene,0.15,Normal,,AT,擾動,315.4504395,501.8724970072997
log2025-06-18 07:28:02.304829.txt,Abilene,0.15,Normal,,AT,未擾動,320.3213226318359,518.1436022223993
log2025-06-18 07:28:02.304829.txt,Abilene,0.15,Normal,,Normal,擾動,326.7406799316406,501.23470346276406
log2025-06-18 07:28:02.304829.txt,Abilene,0.15,Normal,,Normal,未擾動,312.4766448974609,511.42172789885495
log2025-06-18 07:36:38.647039.txt,Abilene,0.15,Normal,,Mixup,擾動,319.81639099121094,500.18112413109014
log2025-06-18 07:36:38.647039.txt,Abilene,0.15,Normal,,Mixup,未擾動,311.9139038085938,512.6361283107739
log2025-06-18 07:36:38.647039.txt,Abilene,0.15,Normal,,Normal,擾動,324.80982360839846,502.8360548969774
log2025-06-18 07:36:38.647039.txt,Abilene,0.15,Normal,,Normal,未擾動,314.1642547607422,513.3473714473689
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,AT,擾動,368.3829681396484,556.1699265342161
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,AT,未擾動,334.08852233886716,538.4244065825861
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,Normal,擾動,378.7655731201172,542.6358185812945
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,Normal,未擾動,309.8644073486328,506.06315936569445
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Mixup,擾動,359.0655853271484,535.8081447142349
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Mixup,未擾動,312.54648742675784,511.09304951268166
